contributors,turn_no,steps,spent_hours,comments_count,priority_numeric,Q1,Q2,Q3
2.0,1,1,0.058,3,2.0,5,5,5
2.0,2,5,364.048,18,2.0,3,3,3
2.0,1,2,0.043,3,2.0,5,5,5
2.0,2,5,779.845,9,2.0,3,3,3
2.0,1,2,0.104,3,3.0,5,5,5
2.0,2,2,132.986,3,2.0,3,3,3
2.0,1,2,0.019,3,2.0,5,5,5
2.0,2,2,107.089,3,2.0,3,3,3
1.0,1,2,332.465,6,2.0,3,3,3
2.0,1,2,0.074,3,3.0,5,5,5
2.0,2,2,66.444,3,2.0,3,3,3
3.0,1,1,0.02,2,2.0,5,5,5
2.0,2,2,0.036,2,2.0,5,5,5
2.0,3,1,0.013,0,2.0,5,5,5
2.0,4,7,49.234,5,2.0,3,3,3
1.0,1,3,267.628,5,2.0,4,4,4
1.0,1,3,291.437,3,3.0,5,5,5
1.0,1,3,170.877,9,2.0,4,4,4
3.0,1,2,0.333,4,2.0,5,5,5
2.0,2,1,0.072,1,2.0,5,5,5
2.0,3,2,669.665,7,2.0,1,1,1
2.0,4,15,1614.294,29,2.0,1,1,1
2.0,1,2,0.17,3,2.0,5,5,5
2.0,2,2,935.477,16,2.0,3,3,3
3.0,1,2,0.017,3,3.0,5,5,5
2.0,2,1,0.051,1,2.0,5,5,5
2.0,3,3,20.157,5,2.0,5,5,5
2.0,1,2,0.083,3,2.0,5,5,5
2.0,2,5,1746.815,7,2.0,2,2,2
